County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Autauga,1001,0.0079,0.0023,0.0023,0.0024,Alabama,2026-05-22
Baldwin,1003,0.1337,0.079,0.0795,0.0799,Alabama,2026-05-22
Barbour,1005,0.0356,0.0179,0.0427,0.0674,Alabama,2026-05-22
Bibb,1007,0.177,0.0428,0.0452,0.0476,Alabama,2026-05-22
Blount,1009,0.0547,0.0158,0.0209,0.0261,Alabama,2026-05-22
Bullock,1011,0.003,0.0013,0.0013,0.0013,Alabama,2026-05-22
Butler,1013,0.0005,0.0013,0.0013,0.0013,Alabama,2026-05-22
Calhoun,1015,0.0114,0.0032,0.0044,0.0055,Alabama,2026-05-22
Chambers,1017,0.001,0.0014,0.0014,0.0014,Alabama,2026-05-22
Cherokee,1019,0.0,<0.0001,<0.0001,<0.0001,Alabama,2026-05-22
Chilton,1021,0.0061,0.0026,0.0045,0.0065,Alabama,2026-05-22
Choctaw,1023,0.0063,0.0042,0.0042,0.0042,Alabama,2026-05-22
Clarke,1025,0.2629,0.1233,0.1289,0.1345,Alabama,2026-05-22
Clay,1027,0.0176,0.0037,0.0054,0.0072,Alabama,2026-05-22
Cleburne,1029,0.0474,0.0137,0.0151,0.0165,Alabama,2026-05-22
Coffee,1031,0.0093,0.0051,0.0051,0.0051,Alabama,2026-05-22
Colbert,1033,0.0,0.0,0.0,0.0,Alabama,2026-05-22
Conecuh,1035,0.0722,0.0578,0.0578,0.0578,Alabama,2026-05-22
Coosa,1037,0.2798,0.047,0.1606,0.2743,Alabama,2026-05-22
Covington,1039,0.0041,0.0027,0.0027,0.0027,Alabama,2026-05-22
Crenshaw,1041,0.0005,0.001,0.001,0.001,Alabama,2026-05-22
Cullman,1043,0.0,<0.0001,<0.0001,<0.0001,Alabama,2026-05-22
Dale,1045,0.0038,0.001,0.001,0.001,Alabama,2026-05-22
Dallas,1047,0.0089,0.0038,0.0044,0.0051,Alabama,2026-05-22
Dekalb,1049,0.0256,0.0097,0.0097,0.0097,Alabama,2026-05-22
Elmore,1051,0.0179,0.0097,0.0121,0.0145,Alabama,2026-05-22
Escambia,1053,0.0246,0.0096,0.0097,0.0098,Alabama,2026-05-22
Etowah,1055,0.0327,0.0087,0.0137,0.0188,Alabama,2026-05-22
Fayette,1057,0.0317,0.0226,0.0298,0.037,Alabama,2026-05-22
Franklin,1059,0.0055,0.005,0.005,0.005,Alabama,2026-05-22
Geneva,1061,0.0007,0.0011,0.0011,0.0011,Alabama,2026-05-22
Greene,1063,0.0089,0.0031,0.0031,0.0031,Alabama,2026-05-22
Hale,1065,0.0073,0.0041,0.0041,0.0041,Alabama,2026-05-22
Henry,1067,0.0488,0.0247,0.0638,0.1029,Alabama,2026-05-22
Houston,1069,0.0011,0.0006,0.0006,0.0006,Alabama,2026-05-22
Jackson,1071,0.0174,0.0698,0.0698,0.0698,Alabama,2026-05-22
Jefferson,1073,0.0297,0.0065,0.0102,0.0138,Alabama,2026-05-22
Lamar,1075,0.0228,0.0152,0.0152,0.0152,Alabama,2026-05-22
Lauderdale,1077,0.0,0.0,0.0,0.0,Alabama,2026-05-22
Lawrence,1079,1.75,1.0,1.0,1.0,Alabama,2026-05-22
Lee,1081,0.0007,0.0002,0.0003,0.0003,Alabama,2026-05-22
Limestone,1083,0.0,0.0,0.0,0.0,Alabama,2026-05-22
Lowndes,1085,0.0233,0.0074,0.0074,0.0074,Alabama,2026-05-22
Macon,1087,0.0035,0.0028,0.0028,0.0028,Alabama,2026-05-22
Madison,1089,0.0,0.0,0.0,0.0,Alabama,2026-05-22
Marengo,1091,0.0095,0.0071,0.0072,0.0074,Alabama,2026-05-22
Marion,1093,0.0145,0.0178,0.0179,0.018,Alabama,2026-05-22
Marshall,1095,0.1013,0.0465,0.0466,0.0466,Alabama,2026-05-22
Mobile,1097,0.0962,0.021,0.0392,0.0574,Alabama,2026-05-22
Monroe,1099,0.1839,0.1874,0.188,0.1887,Alabama,2026-05-22
Montgomery,1101,0.001,0.0006,0.0006,0.0006,Alabama,2026-05-22
Morgan,1103,0.0,0.0,0.0,0.0,Alabama,2026-05-22
Perry,1105,0.0229,0.0029,0.0036,0.0044,Alabama,2026-05-22
Pickens,1107,0.054,0.0117,0.0134,0.0151,Alabama,2026-05-22
Pike,1109,0.0051,0.0028,0.0028,0.0028,Alabama,2026-05-22
Randolph,1111,0.0049,0.0013,0.0016,0.0019,Alabama,2026-05-22
Russell,1113,0.0185,0.0155,0.0226,0.0296,Alabama,2026-05-22
Shelby,1117,0.0094,0.0021,0.0029,0.0038,Alabama,2026-05-22
St. Clair,1115,0.0392,0.0174,0.0195,0.0215,Alabama,2026-05-22
Sumter,1119,0.0028,0.0018,0.0018,0.0018,Alabama,2026-05-22
Talladega,1121,0.0493,0.0061,0.0108,0.0156,Alabama,2026-05-22
Tallapoosa,1123,0.0327,0.0104,0.0208,0.0311,Alabama,2026-05-22
Tuscaloosa,1125,0.0336,0.0048,0.0136,0.0223,Alabama,2026-05-22
Walker,1127,0.0306,0.0146,0.0172,0.0198,Alabama,2026-05-22
Washington,1129,0.0021,0.0084,0.0084,0.0084,Alabama,2026-05-22
Wilcox,1131,0.0685,0.029,0.0328,0.0367,Alabama,2026-05-22
Winston,1133,0.0122,0.0045,0.0052,0.0059,Alabama,2026-05-22
