County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Appling,13001,0.0394,0.0319,0.0321,0.0323,Georgia,2026-04-29
Atkinson,13003,0.0019,0.0015,0.0015,0.0015,Georgia,2026-04-29
Bacon,13005,0.1456,0.0767,0.0767,0.0767,Georgia,2026-04-29
Baker,13007,0.0031,0.001,0.0014,0.0017,Georgia,2026-04-29
Baldwin,13009,0.0003,0.0002,0.0003,0.0003,Georgia,2026-04-29
Banks,13011,0.0044,0.0032,0.0046,0.0059,Georgia,2026-04-29
Barrow,13013,0.0235,0.0412,0.0412,0.0412,Georgia,2026-04-29
Bartow,13015,0.0015,0.0006,0.0006,0.0006,Georgia,2026-04-29
Ben Hill,13017,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Berrien,13019,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Bibb,13021,0.0003,0.0007,0.0007,0.0007,Georgia,2026-04-29
Bleckley,13023,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Brantley,13025,0.0018,0.0017,0.0017,0.0017,Georgia,2026-04-29
Brooks,13027,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Bryan,13029,0.0001,0.0006,0.0006,0.0006,Georgia,2026-04-29
Bulloch,13031,0.0003,0.0005,0.0005,0.0005,Georgia,2026-04-29
Burke,13033,0.2425,0.0227,0.0914,0.1601,Georgia,2026-04-29
Butts,13035,0.0006,0.0012,0.0012,0.0012,Georgia,2026-04-29
Calhoun,13037,0.0021,0.0042,0.0042,0.0042,Georgia,2026-04-29
Camden,13039,0.0001,0.0002,0.0002,0.0002,Georgia,2026-04-29
Candler,13043,0.0019,0.0077,0.0077,0.0077,Georgia,2026-04-29
Carroll,13045,0.0001,0.0002,0.0002,0.0002,Georgia,2026-04-29
Catoosa,13047,0.0029,0.0059,0.0059,0.0059,Georgia,2026-04-29
Charlton,13049,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Chatham,13051,0.0017,0.0027,0.0027,0.0027,Georgia,2026-04-29
Chattahoochee,13053,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Chattooga,13055,0.0088,0.0064,0.0066,0.0067,Georgia,2026-04-29
Cherokee,13057,0.0062,0.0008,0.0018,0.0028,Georgia,2026-04-29
Clarke,13059,0.027,0.0123,0.0142,0.0161,Georgia,2026-04-29
Clay,13061,0.0049,0.0056,0.0056,0.0056,Georgia,2026-04-29
Clayton,13063,0.0015,0.003,0.003,0.003,Georgia,2026-04-29
Clinch,13065,0.0012,0.0024,0.0024,0.0024,Georgia,2026-04-29
Cobb,13067,0.0148,0.0049,0.0053,0.0058,Georgia,2026-04-29
Coffee,13069,0.0001,0.0002,0.0002,0.0002,Georgia,2026-04-29
Colquitt,13071,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Columbia,13073,0.0093,0.0036,0.0052,0.0068,Georgia,2026-04-29
Cook,13075,0.0012,0.0024,0.0024,0.0024,Georgia,2026-04-29
Coweta,13077,0.0009,0.0033,0.0033,0.0033,Georgia,2026-04-29
Crawford,13079,0.0018,0.0024,0.0024,0.0024,Georgia,2026-04-29
Crisp,13081,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Dade,13083,0.0088,0.0089,0.0089,0.0089,Georgia,2026-04-29
Dawson,13085,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Decatur,13087,0.0001,0.0004,0.0004,0.0004,Georgia,2026-04-29
Dekalb,13089,0.0022,0.0025,0.0025,0.0025,Georgia,2026-04-29
Dodge,13091,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Dooly,13093,0.0012,0.0012,0.0012,0.0012,Georgia,2026-04-29
Dougherty,13095,0.0115,0.0014,0.0014,0.0014,Georgia,2026-04-29
Douglas,13097,0.0021,0.0034,0.0034,0.0034,Georgia,2026-04-29
Early,13099,0.0176,0.0059,0.0059,0.0059,Georgia,2026-04-29
Echols,13101,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Effingham,13103,0.0007,0.0013,0.0013,0.0013,Georgia,2026-04-29
Elbert,13105,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Emanuel,13107,0.0025,0.0038,0.0038,0.0038,Georgia,2026-04-29
Evans,13109,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Fannin,13111,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Fayette,13113,0.3346,0.2584,0.2584,0.2584,Georgia,2026-04-29
Floyd,13115,0.0025,0.0024,0.0027,0.0029,Georgia,2026-04-29
Forsyth,13117,0.0011,0.0009,0.0009,0.0009,Georgia,2026-04-29
Franklin,13119,0.0002,0.0009,0.0009,0.0009,Georgia,2026-04-29
Fulton,13121,0.0042,0.0072,0.0072,0.0072,Georgia,2026-04-29
Gilmer,13123,0.0122,0.0183,0.0183,0.0183,Georgia,2026-04-29
Glascock,13125,0.0092,0.0018,0.0018,0.0018,Georgia,2026-04-29
Glynn,13127,0.0004,0.0006,0.0006,0.0007,Georgia,2026-04-29
Gordon,13129,0.0032,0.0039,0.0039,0.0039,Georgia,2026-04-29
Grady,13131,0.0255,0.0573,0.0573,0.0573,Georgia,2026-04-29
Greene,13133,0.0004,0.0008,0.0008,0.0008,Georgia,2026-04-29
Gwinnett,13135,0.0065,0.0015,0.007,0.0124,Georgia,2026-04-29
Habersham,13137,0.0003,0.0009,0.0009,0.0009,Georgia,2026-04-29
Hall,13139,0.0045,0.0015,0.0022,0.003,Georgia,2026-04-29
Hancock,13141,0.0513,0.0102,0.0102,0.0102,Georgia,2026-04-29
Haralson,13143,0.0002,0.001,0.001,0.001,Georgia,2026-04-29
Harris,13145,0.037,0.0303,0.0303,0.0303,Georgia,2026-04-29
Hart,13147,0.0011,0.0018,0.0018,0.0018,Georgia,2026-04-29
Heard,13149,0.0704,0.0469,0.0469,0.0469,Georgia,2026-04-29
Henry,13151,0.0011,0.0011,0.0011,0.0011,Georgia,2026-04-29
Houston,13153,0.0011,0.0011,0.0015,0.0018,Georgia,2026-04-29
Irwin,13155,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Jackson,13157,0.001,0.0014,0.0014,0.0015,Georgia,2026-04-29
Jasper,13159,<0.0001,0.0002,0.0002,0.0002,Georgia,2026-04-29
Jeff Davis,13161,0.0091,0.0078,0.008,0.0082,Georgia,2026-04-29
Jefferson,13163,0.0062,0.0008,0.0008,0.0008,Georgia,2026-04-29
Jenkins,13165,0.3129,0.1654,0.1724,0.1793,Georgia,2026-04-29
Johnson,13167,0.0027,0.0018,0.0018,0.0018,Georgia,2026-04-29
Jones,13169,0.0038,0.0144,0.0144,0.0144,Georgia,2026-04-29
Lamar,13171,0.0008,0.003,0.003,0.003,Georgia,2026-04-29
Lanier,13173,0.0058,0.0023,0.0023,0.0023,Georgia,2026-04-29
Laurens,13175,0.0049,0.0083,0.0083,0.0083,Georgia,2026-04-29
Lee,13177,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Liberty,13179,0.0034,0.0022,0.0022,0.0022,Georgia,2026-04-29
Lincoln,13181,0.0225,0.0362,0.0362,0.0362,Georgia,2026-04-29
Long,13183,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Lowndes,13185,0.0002,0.0005,0.0005,0.0005,Georgia,2026-04-29
Lumpkin,13187,0.0011,0.001,0.0014,0.0017,Georgia,2026-04-29
Macon,13193,0.0056,0.0059,0.0059,0.0059,Georgia,2026-04-29
Madison,13195,0.0089,0.0058,0.0077,0.0096,Georgia,2026-04-29
Marion,13197,0.0858,0.0228,0.0228,0.0228,Georgia,2026-04-29
Mcduffie,13189,0.0013,0.0006,0.0006,0.0006,Georgia,2026-04-29
Mcintosh,13191,0.0005,0.0005,0.0005,0.0005,Georgia,2026-04-29
Meriwether,13199,0.0035,0.0054,0.0054,0.0054,Georgia,2026-04-29
Miller,13201,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Mitchell,13205,0.0026,0.0003,0.0004,0.0004,Georgia,2026-04-29
Monroe,13207,0.1115,0.0498,0.0498,0.0498,Georgia,2026-04-29
Montgomery,13209,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Morgan,13211,0.0068,0.0016,0.0016,0.0016,Georgia,2026-04-29
Murray,13213,0.0058,0.0034,0.0041,0.0048,Georgia,2026-04-29
Muscogee,13215,0.0036,0.005,0.0057,0.0065,Georgia,2026-04-29
Newton,13217,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Oconee,13219,0.0015,0.0008,0.0009,0.001,Georgia,2026-04-29
Oglethorpe,13221,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Paulding,13223,0.007,0.0004,0.0004,0.0004,Georgia,2026-04-29
Peach,13225,0.0311,0.0287,0.0287,0.0287,Georgia,2026-04-29
Pickens,13227,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Pierce,13229,0.0013,0.0041,0.0041,0.0041,Georgia,2026-04-29
Pike,13231,0.002,0.0053,0.0053,0.0053,Georgia,2026-04-29
Polk,13233,0.0084,0.0061,0.0061,0.0061,Georgia,2026-04-29
Pulaski,13235,0.0012,0.0024,0.0024,0.0024,Georgia,2026-04-29
Putnam,13237,0.0005,0.0007,0.0007,0.0007,Georgia,2026-04-29
Quitman,13239,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Rabun,13241,0.0016,0.0021,0.0021,0.0021,Georgia,2026-04-29
Randolph,13243,0.0047,0.0033,0.0033,0.0033,Georgia,2026-04-29
Richmond,13245,0.003,0.0013,0.0016,0.0018,Georgia,2026-04-29
Rockdale,13247,0.003,0.0032,0.0032,0.0032,Georgia,2026-04-29
Schley,13249,0.001,0.002,0.002,0.002,Georgia,2026-04-29
Screven,13251,0.0081,0.0065,0.0065,0.0065,Georgia,2026-04-29
Seminole,13253,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Spalding,13255,0.0031,0.0022,0.0022,0.0022,Georgia,2026-04-29
Stephens,13257,0.0002,0.0008,0.0008,0.0008,Georgia,2026-04-29
Stewart,13259,0.002,0.004,0.004,0.004,Georgia,2026-04-29
Sumter,13261,0.0176,0.0182,0.0182,0.0182,Georgia,2026-04-29
Talbot,13263,0.0048,0.0016,0.0016,0.0016,Georgia,2026-04-29
Taliaferro,13265,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Tattnall,13267,0.0145,0.0059,0.0059,0.0059,Georgia,2026-04-29
Taylor,13269,0.0104,0.0045,0.0057,0.0069,Georgia,2026-04-29
Telfair,13271,0.0003,0.0012,0.0012,0.0012,Georgia,2026-04-29
Terrell,13273,0.0003,0.0012,0.0012,0.0012,Georgia,2026-04-29
Thomas,13275,0.0003,0.0014,0.0014,0.0014,Georgia,2026-04-29
Tift,13277,0.0001,0.0003,0.0003,0.0003,Georgia,2026-04-29
Toombs,13279,0.0001,0.0005,0.0005,0.0005,Georgia,2026-04-29
Towns,13281,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Treutlen,13283,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Troup,13285,0.0023,0.0067,0.0067,0.0067,Georgia,2026-04-29
Turner,13287,0.0,0.0,0.0,0.0,Georgia,2026-04-29
Twiggs,13289,0.003,0.0092,0.0092,0.0092,Georgia,2026-04-29
Union,13291,0.0006,0.0009,0.0009,0.0009,Georgia,2026-04-29
Upson,13293,0.0007,0.0026,0.0026,0.0026,Georgia,2026-04-29
Walker,13295,0.0058,0.0078,0.0078,0.0078,Georgia,2026-04-29
Walton,13297,0.0061,0.0021,0.0021,0.0021,Georgia,2026-04-29
Ware,13299,0.0011,0.0007,0.0007,0.0007,Georgia,2026-04-29
