County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Adams,28001,0.0186,0.0025,0.0026,0.0027,Mississippi,2026-07-19
Alcorn,28003,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Amite,28005,0.0462,0.0052,0.0156,0.0261,Mississippi,2026-07-19
Attala,28007,0.0004,0.0004,0.0004,0.0004,Mississippi,2026-07-19
Benton,28009,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Bolivar,28011,0.0003,0.0003,0.0003,0.0004,Mississippi,2026-07-19
Calhoun,28013,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Carroll,28015,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Chickasaw,28017,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Choctaw,28019,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Claiborne,28021,0.2922,0.0863,0.0863,0.0863,Mississippi,2026-07-19
Clarke,28023,0.0011,0.0009,0.0009,0.0009,Mississippi,2026-07-19
Clay,28025,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Coahoma,28027,0.0165,0.0095,0.0095,0.0095,Mississippi,2026-07-19
Copiah,28029,0.0229,0.0051,0.0178,0.0304,Mississippi,2026-07-19
Covington,28031,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Desoto,28033,0.0001,0.0002,0.0002,0.0002,Mississippi,2026-07-19
Forrest,28035,0.0003,0.0003,0.0003,0.0003,Mississippi,2026-07-19
Franklin,28037,0.0425,0.0236,0.0432,0.0628,Mississippi,2026-07-19
George,28039,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Greene,28041,0.1925,0.154,0.154,0.154,Mississippi,2026-07-19
Grenada,28043,0.0003,0.0003,0.0003,0.0003,Mississippi,2026-07-19
Hancock,28045,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Harrison,28047,0.0187,0.0045,0.0046,0.0047,Mississippi,2026-07-19
Hinds,28049,0.0048,0.0018,0.0029,0.0039,Mississippi,2026-07-19
Holmes,28051,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Humphreys,28053,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Issaquena,28055,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Itawamba,28057,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Jackson,28059,<0.0001,0.0001,0.0001,0.0001,Mississippi,2026-07-19
Jasper,28061,0.0004,0.0003,0.0003,0.0003,Mississippi,2026-07-19
Jefferson,28063,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Jefferson Davis,28065,0.0018,0.0058,0.0058,0.0058,Mississippi,2026-07-19
Jones,28067,0.0061,0.0011,0.0012,0.0012,Mississippi,2026-07-19
Kemper,28069,0.0046,0.0023,0.0033,0.0044,Mississippi,2026-07-19
Lafayette,28071,0.0362,0.0061,0.0061,0.0061,Mississippi,2026-07-19
Lamar,28073,0.0019,0.0009,0.0009,0.0009,Mississippi,2026-07-19
Lauderdale,28075,0.1202,0.0438,0.0783,0.1127,Mississippi,2026-07-19
Lawrence,28077,0.0142,0.0095,0.0095,0.0095,Mississippi,2026-07-19
Leake,28079,0.001,0.0006,0.0006,0.0007,Mississippi,2026-07-19
Lee,28081,0.0001,0.0004,0.0004,0.0004,Mississippi,2026-07-19
Leflore,28083,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Lincoln,28085,0.0121,0.0046,0.0046,0.0047,Mississippi,2026-07-19
Lowndes,28087,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Madison,28089,0.0073,0.0063,0.0064,0.0066,Mississippi,2026-07-19
Marion,28091,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Marshall,28093,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Monroe,28095,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Montgomery,28097,0.0553,0.1429,0.1429,0.1429,Mississippi,2026-07-19
Neshoba,28099,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Newton,28101,0.0013,0.001,0.001,0.001,Mississippi,2026-07-19
Noxubee,28103,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Oktibbeha,28105,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Panola,28107,0.0004,0.0007,0.0007,0.0007,Mississippi,2026-07-19
Pearl River,28109,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Perry,28111,0.0224,0.0179,0.0179,0.0179,Mississippi,2026-07-19
Pike,28113,0.0008,0.0004,0.0004,0.0004,Mississippi,2026-07-19
Pontotoc,28115,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Prentiss,28117,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Quitman,28119,0.0081,0.0044,0.0044,0.0044,Mississippi,2026-07-19
Rankin,28121,0.0196,0.0246,0.0265,0.0284,Mississippi,2026-07-19
Scott,28123,0.0043,0.0012,0.0014,0.0016,Mississippi,2026-07-19
Sharkey,28125,0.0025,0.0011,0.0011,0.0011,Mississippi,2026-07-19
Simpson,28127,0.0024,0.0022,0.0022,0.0022,Mississippi,2026-07-19
Smith,28129,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Stone,28131,0.0008,0.0012,0.0012,0.0012,Mississippi,2026-07-19
Sunflower,28133,0.0001,0.0002,0.0002,0.0002,Mississippi,2026-07-19
Tallahatchie,28135,0.0007,0.0002,0.0002,0.0002,Mississippi,2026-07-19
Tate,28137,0.0001,0.0001,0.0001,0.0001,Mississippi,2026-07-19
Tippah,28139,0.0005,0.0005,0.0005,0.0005,Mississippi,2026-07-19
Tishomingo,28141,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Tunica,28143,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Union,28145,0.0014,0.0004,0.0004,0.0004,Mississippi,2026-07-19
Walthall,28147,0.0576,0.0455,0.0455,0.0455,Mississippi,2026-07-19
Warren,28149,0.0063,0.0057,0.0062,0.0067,Mississippi,2026-07-19
Washington,28151,0.0016,0.0001,0.0002,0.0002,Mississippi,2026-07-19
Wayne,28153,0.0001,0.0002,0.0002,0.0002,Mississippi,2026-07-19
Webster,28155,0.1413,0.4183,0.4183,0.4183,Mississippi,2026-07-19
Wilkinson,28157,0.0282,0.0084,0.0126,0.0168,Mississippi,2026-07-19
Winston,28159,0.0005,0.0001,0.0001,0.0001,Mississippi,2026-07-19
Yalobusha,28161,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
Yazoo,28163,0.0,0.0,0.0,0.0,Mississippi,2026-07-19
