County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Alamance,37001,0.0163,0.0195,0.0195,0.0195,North Carolina,2026-08-16
Alexander,37003,0.0005,0.0004,0.0004,0.0004,North Carolina,2026-08-16
Alleghany,37005,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
Anson,37007,0.0031,0.0024,0.0024,0.0024,North Carolina,2026-08-16
Ashe,37009,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
Avery,37011,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
Beaufort,37013,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
Bertie,37015,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
Bladen,37017,0.0217,0.0092,0.0092,0.0092,North Carolina,2026-08-16
Brunswick,37019,0.0001,0.0001,0.0001,0.0001,North Carolina,2026-08-16
Buncombe,37021,0.0009,0.0008,0.0008,0.0008,North Carolina,2026-08-16
Burke,37023,0.0003,0.0003,0.0003,0.0003,North Carolina,2026-08-16
Cabarrus,37025,<0.0001,<0.0001,<0.0001,<0.0001,North Carolina,2026-08-16
Caldwell,37027,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
Camden,37029,0.0065,0.0009,0.0009,0.0009,North Carolina,2026-08-16
Carteret,37031,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
Caswell,37033,0.0046,0.0036,0.0036,0.0036,North Carolina,2026-08-16
Catawba,37035,0.0111,0.0111,0.0111,0.0111,North Carolina,2026-08-16
Chatham,37037,0.0005,0.0004,0.0004,0.0004,North Carolina,2026-08-16
Cherokee,37039,0.001,0.0008,0.0008,0.0008,North Carolina,2026-08-16
Chowan,37041,0.0177,0.0004,0.0004,0.0004,North Carolina,2026-08-16
Clay,37043,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
Cleveland,37045,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
Columbus,37047,0.0204,0.0219,0.0219,0.0219,North Carolina,2026-08-16
Craven,37049,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
Cumberland,37051,0.0001,0.0001,0.0001,0.0001,North Carolina,2026-08-16
Currituck,37053,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
Dare,37055,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
Davidson,37057,0.0022,0.0009,0.0009,0.0009,North Carolina,2026-08-16
Davie,37059,0.0008,0.0014,0.0014,0.0014,North Carolina,2026-08-16
Duplin,37061,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
Durham,37063,<0.0001,<0.0001,<0.0001,<0.0001,North Carolina,2026-08-16
Edgecombe,37065,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
Forsyth,37067,<0.0001,<0.0001,<0.0001,<0.0001,North Carolina,2026-08-16
Franklin,37069,0.0,0.0,0.0,0.0,North Carolina,2026-08-16
