County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Autauga,1001,0.0012,0.0007,0.0007,0.0007,Alabama,2026-04-22
Baldwin,1003,0.0036,0.0026,0.0026,0.0026,Alabama,2026-04-22
Barbour,1005,0.0001,0.0004,0.0004,0.0004,Alabama,2026-04-22
Bibb,1007,0.0152,0.0082,0.0082,0.0082,Alabama,2026-04-22
Blount,1009,0.0223,0.0813,0.0815,0.0817,Alabama,2026-04-22
Bullock,1011,0.0,<0.0001,<0.0001,<0.0001,Alabama,2026-04-22
Butler,1013,0.0008,0.0006,0.0006,0.0006,Alabama,2026-04-22
Calhoun,1015,0.0017,0.0003,0.0004,0.0005,Alabama,2026-04-22
Chambers,1017,0.0048,0.0047,0.0047,0.0047,Alabama,2026-04-22
Cherokee,1019,0.0,<0.0001,<0.0001,<0.0001,Alabama,2026-04-22
Chilton,1021,0.0162,0.0029,0.0124,0.0219,Alabama,2026-04-22
Choctaw,1023,0.0087,0.0039,0.0039,0.0039,Alabama,2026-04-22
Clarke,1025,0.0038,0.0077,0.0077,0.0077,Alabama,2026-04-22
Clay,1027,0.0057,0.002,0.002,0.002,Alabama,2026-04-22
Cleburne,1029,0.0058,0.0013,0.0013,0.0013,Alabama,2026-04-22
Coffee,1031,0.0013,0.0013,0.0018,0.0023,Alabama,2026-04-22
Colbert,1033,0.0,0.0,0.0,0.0,Alabama,2026-04-22
Conecuh,1035,0.0,<0.0001,<0.0001,<0.0001,Alabama,2026-04-22
Coosa,1037,0.0173,0.0067,0.015,0.0233,Alabama,2026-04-22
Covington,1039,0.002,0.0027,0.0027,0.0027,Alabama,2026-04-22
Crenshaw,1041,0.0031,0.0017,0.0017,0.0017,Alabama,2026-04-22
Cullman,1043,0.0,<0.0001,<0.0001,<0.0001,Alabama,2026-04-22
Dale,1045,0.0213,0.014,0.014,0.014,Alabama,2026-04-22
Dallas,1047,0.0009,0.0004,0.0004,0.0005,Alabama,2026-04-22
Dekalb,1049,0.0001,0.0003,0.0003,0.0003,Alabama,2026-04-22
Elmore,1051,0.0007,0.0004,0.0004,0.0004,Alabama,2026-04-22
Escambia,1053,0.0032,0.0101,0.0101,0.0101,Alabama,2026-04-22
Etowah,1055,0.0092,0.0069,0.0069,0.0069,Alabama,2026-04-22
Fayette,1057,0.002,0.0058,0.0058,0.0058,Alabama,2026-04-22
Franklin,1059,0.0049,0.0022,0.0022,0.0022,Alabama,2026-04-22
Geneva,1061,0.024,0.009,0.011,0.013,Alabama,2026-04-22
Greene,1063,0.0,<0.0001,<0.0001,<0.0001,Alabama,2026-04-22
Hale,1065,0.006,0.0026,0.0026,0.0026,Alabama,2026-04-22
Henry,1067,0.0018,0.001,0.001,0.001,Alabama,2026-04-22
Houston,1069,0.001,0.0006,0.0006,0.0006,Alabama,2026-04-22
Jackson,1071,0.0,0.0,0.0,0.0,Alabama,2026-04-22
Jefferson,1073,0.0039,0.0006,0.0013,0.002,Alabama,2026-04-22
Lamar,1075,0.018,0.0142,0.0142,0.0142,Alabama,2026-04-22
Lauderdale,1077,0.0,0.0,0.0,0.0,Alabama,2026-04-22
Lawrence,1079,0.0,<0.0001,<0.0001,<0.0001,Alabama,2026-04-22
Lee,1081,0.0013,0.0008,0.0012,0.0016,Alabama,2026-04-22
Limestone,1083,0.0,0.0,0.0,0.0,Alabama,2026-04-22
Lowndes,1085,0.0461,0.0222,0.0222,0.0222,Alabama,2026-04-22
Macon,1087,0.0035,0.0028,0.0028,0.0028,Alabama,2026-04-22
Madison,1089,0.0,0.0,0.0,0.0,Alabama,2026-04-22
Marengo,1091,0.0009,0.0007,0.0007,0.0007,Alabama,2026-04-22
Marion,1093,0.0115,0.0137,0.014,0.0144,Alabama,2026-04-22
Marshall,1095,0.004,0.0047,0.0047,0.0047,Alabama,2026-04-22
Mobile,1097,0.0019,0.0005,0.0009,0.0012,Alabama,2026-04-22
Monroe,1099,0.0035,0.0021,0.0021,0.0021,Alabama,2026-04-22
Montgomery,1101,0.0012,0.001,0.001,0.0011,Alabama,2026-04-22
Morgan,1103,0.0,0.0,0.0,0.0,Alabama,2026-04-22
Perry,1105,0.0074,0.0023,0.0023,0.0023,Alabama,2026-04-22
Pickens,1107,0.0033,0.0059,0.0065,0.007,Alabama,2026-04-22
Pike,1109,0.0047,0.0058,0.0058,0.0058,Alabama,2026-04-22
Randolph,1111,0.0014,0.001,0.001,0.001,Alabama,2026-04-22
Russell,1113,0.0027,0.0017,0.0017,0.0018,Alabama,2026-04-22
Shelby,1117,0.0009,0.0004,0.0004,0.0005,Alabama,2026-04-22
St. Clair,1115,0.0027,0.0009,0.0009,0.001,Alabama,2026-04-22
Sumter,1119,0.0048,0.0018,0.0018,0.0018,Alabama,2026-04-22
Talladega,1121,0.0017,0.0014,0.0015,0.0015,Alabama,2026-04-22
Tallapoosa,1123,0.0014,0.0019,0.0019,0.0019,Alabama,2026-04-22
Tuscaloosa,1125,0.0017,0.0006,0.0007,0.0007,Alabama,2026-04-22
Walker,1127,0.0014,0.0006,0.0007,0.0008,Alabama,2026-04-22
Washington,1129,0.0064,0.0085,0.0085,0.0085,Alabama,2026-04-22
Wilcox,1131,0.0026,0.0018,0.0018,0.0018,Alabama,2026-04-22
Winston,1133,0.0035,0.0031,0.0031,0.0031,Alabama,2026-04-22
