County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Alachua,12001,0.0198,0.0159,0.0175,0.019,Florida,2026-07-27
Baker,12003,0.01,0.0049,0.0049,0.0049,Florida,2026-07-27
Bay,12005,0.0006,0.0005,0.0006,0.0007,Florida,2026-07-27
Bradford,12007,0.011,0.0024,0.0024,0.0024,Florida,2026-07-27
Brevard,12009,0.0053,0.0042,0.0055,0.0067,Florida,2026-07-27
Broward,12011,0.0097,0.0019,0.0034,0.0049,Florida,2026-07-27
Calhoun,12013,0.0009,0.0011,0.0011,0.0011,Florida,2026-07-27
Charlotte,12015,0.0031,0.0008,0.001,0.0012,Florida,2026-07-27
Citrus,12017,0.0223,0.017,0.0189,0.0209,Florida,2026-07-27
Clay,12019,0.0004,0.0002,0.0003,0.0004,Florida,2026-07-27
Collier,12021,0.0019,0.0002,0.0008,0.0014,Florida,2026-07-27
Columbia,12023,0.001,0.0002,0.0003,0.0004,Florida,2026-07-27
Desoto,12027,0.0,0.0,0.0,0.0,Florida,2026-07-27
Dixie,12029,0.0001,0.0002,0.0002,0.0002,Florida,2026-07-27
Duval,12031,0.0,0.0,0.0,0.0,Florida,2026-07-27
Escambia,12033,0.0026,0.0005,0.0006,0.0007,Florida,2026-07-27
Flagler,12035,0.007,0.0027,0.0028,0.0029,Florida,2026-07-27
Franklin,12037,0.0,0.0,0.0,0.0,Florida,2026-07-27
Gadsden,12039,0.0,0.0,0.0,0.0,Florida,2026-07-27
Gilchrist,12041,0.0006,0.0008,0.0008,0.0008,Florida,2026-07-27
Glades,12043,0.0861,0.0443,0.0483,0.0522,Florida,2026-07-27
Gulf,12045,0.0004,0.0015,0.0015,0.0015,Florida,2026-07-27
Hamilton,12047,0.1315,0.1269,0.1273,0.1277,Florida,2026-07-27
Hardee,12049,0.0,0.0,0.0,0.0,Florida,2026-07-27
Hendry,12051,0.0017,0.0002,0.0003,0.0005,Florida,2026-07-27
Hernando,12053,0.0019,0.0011,0.0015,0.0019,Florida,2026-07-27
Highlands,12055,0.0,0.0,0.0,0.0,Florida,2026-07-27
Hillsborough,12057,0.0,0.0,0.0,0.0,Florida,2026-07-27
Holmes,12059,0.0034,0.0034,0.0034,0.0034,Florida,2026-07-27
Indian River,12061,0.0039,0.0062,0.0066,0.007,Florida,2026-07-27
Jackson,12063,0.0001,0.0001,0.0001,0.0001,Florida,2026-07-27
Jefferson,12065,0.0043,0.0065,0.0065,0.0065,Florida,2026-07-27
Lafayette,12067,0.0093,0.0088,0.0088,0.0088,Florida,2026-07-27
Lake,12069,0.0033,0.0013,0.0013,0.0013,Florida,2026-07-27
Lee,12071,0.002,0.0002,0.0007,0.0012,Florida,2026-07-27
Leon,12073,0.0,0.0,0.0,0.0,Florida,2026-07-27
Levy,12075,0.0096,0.0044,0.0066,0.0088,Florida,2026-07-27
Liberty,12077,0.0,0.0,0.0,0.0,Florida,2026-07-27
Madison,12079,0.0094,0.0361,0.0361,0.0361,Florida,2026-07-27
Manatee,12081,0.0093,0.0017,0.0024,0.003,Florida,2026-07-27
Marion,12083,0.0021,0.0019,0.0019,0.0019,Florida,2026-07-27
Martin,12085,0.0033,0.0006,0.0008,0.0009,Florida,2026-07-27
Miami-Dade,12086,0.0166,0.0049,0.0058,0.0067,Florida,2026-07-27
Monroe,12087,0.0,0.0,0.0,0.0,Florida,2026-07-27
Nassau,12089,0.0051,0.0018,0.0018,0.0018,Florida,2026-07-27
Okaloosa,12091,0.007,0.0071,0.008,0.0089,Florida,2026-07-27
Okeechobee,12093,0.0247,0.003,0.003,0.003,Florida,2026-07-27
Orange,12095,0.0,0.0,0.0,0.0,Florida,2026-07-27
Osceola,12097,0.0,0.0,0.0,0.0,Florida,2026-07-27
Palm Beach,12099,0.0035,0.0019,0.0024,0.0029,Florida,2026-07-27
Pasco,12101,0.0109,0.0108,0.0115,0.0121,Florida,2026-07-27
Pinellas,12103,0.0,0.0,0.0,0.0,Florida,2026-07-27
Polk,12105,0.005,0.0034,0.0034,0.0034,Florida,2026-07-27
Putnam,12107,0.0242,0.0038,0.0162,0.0286,Florida,2026-07-27
Santa Rosa,12113,0.001,0.0002,0.0004,0.0006,Florida,2026-07-27
Sarasota,12115,0.0142,0.0079,0.0095,0.0112,Florida,2026-07-27
Seminole,12117,0.0065,0.0018,0.002,0.0021,Florida,2026-07-27
St. Johns,12109,0.0,0.0,0.0,0.0,Florida,2026-07-27
St. Lucie,12111,0.0,0.0,0.0,0.0,Florida,2026-07-27
Sumter,12119,0.0006,0.0016,0.0016,0.0016,Florida,2026-07-27
Suwannee,12121,0.0344,0.0105,0.011,0.0115,Florida,2026-07-27
Taylor,12123,0.0014,0.0008,0.0008,0.0008,Florida,2026-07-27
Union,12125,0.0013,0.0006,0.0006,0.0006,Florida,2026-07-27
Volusia,12127,0.0123,0.0016,0.0019,0.0022,Florida,2026-07-27
Wakulla,12129,0.0,0.0,0.0,0.0,Florida,2026-07-27
Walton,12131,0.0099,0.0035,0.0035,0.0035,Florida,2026-07-27
Washington,12133,0.0024,0.0015,0.0015,0.0015,Florida,2026-07-27
