County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Appling,13001,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Atkinson,13003,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Bacon,13005,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Baker,13007,0.0,0.0096,0.0096,0.0096,Georgia,2026-09-11
Baldwin,13009,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Banks,13011,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Barrow,13013,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Bartow,13015,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Ben Hill,13017,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Berrien,13019,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Bibb,13021,<0.0001,0.0001,0.0001,0.0001,Georgia,2026-09-11
Bleckley,13023,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Brantley,13025,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Brooks,13027,0.0071,0.0283,0.0283,0.0283,Georgia,2026-09-11
Bryan,13029,0.0001,0.0002,0.0002,0.0002,Georgia,2026-09-11
Bulloch,13031,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Burke,13033,0.0002,0.0007,0.0007,0.0007,Georgia,2026-09-11
Butts,13035,0.0001,0.0003,0.0003,0.0003,Georgia,2026-09-11
Calhoun,13037,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Camden,13039,0.0002,0.0006,0.0006,0.0006,Georgia,2026-09-11
Candler,13043,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Carroll,13045,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Catoosa,13047,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Charlton,13049,0.0,0.011,0.011,0.011,Georgia,2026-09-11
Chatham,13051,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Chattahoochee,13053,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Chattooga,13055,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Cherokee,13057,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Clarke,13059,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Clay,13061,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Clayton,13063,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Clinch,13065,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Cobb,13067,0.0001,0.0004,0.0004,0.0004,Georgia,2026-09-11
Coffee,13069,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Colquitt,13071,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Columbia,13073,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Cook,13075,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Coweta,13077,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Crawford,13079,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Crisp,13081,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Dade,13083,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Dawson,13085,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Decatur,13087,<0.0001,0.0002,0.0002,0.0002,Georgia,2026-09-11
Dekalb,13089,<0.0001,0.0001,0.0001,0.0001,Georgia,2026-09-11
Dodge,13091,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Dooly,13093,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Dougherty,13095,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Douglas,13097,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Early,13099,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Echols,13101,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Effingham,13103,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Elbert,13105,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Emanuel,13107,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Evans,13109,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Fannin,13111,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Fayette,13113,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Floyd,13115,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Forsyth,13117,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Franklin,13119,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Fulton,13121,0.0001,0.0003,0.0003,0.0003,Georgia,2026-09-11
Gilmer,13123,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Glascock,13125,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Glynn,13127,0.0009,0.0037,0.0037,0.0037,Georgia,2026-09-11
Gordon,13129,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Grady,13131,0.0013,0.0051,0.0051,0.0051,Georgia,2026-09-11
Greene,13133,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Gwinnett,13135,<0.0001,<0.0001,<0.0001,<0.0001,Georgia,2026-09-11
Habersham,13137,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Hall,13139,<0.0001,0.0001,0.0001,0.0001,Georgia,2026-09-11
Hancock,13141,0.0,0.0,0.0,0.0,Georgia,2026-09-11
Haralson,13143,0.0,0.0,0.0,0.0,Georgia,2026-09-11
