County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Adams,17001.0,0.2688,0.1195,0.1195,0.1195,Illinois,2026-05-21
Alexander,17003.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Bond,17005.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Boone,17007.0,0.0001,0.0002,0.0002,0.0002,Illinois,2026-05-21
Brown,17009.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Bureau,17011.0,0.0021,0.0021,0.0021,0.0021,Illinois,2026-05-21
Calhoun,17013.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Carroll,17015.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Cass,17017.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Champaign,17019.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Christian,17021.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Clark,17023.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Clay,17025.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Clinton,17027.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Coles,17029.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Cook,17031.0,0.0004,0.0004,0.0005,0.0005,Illinois,2026-05-21
Crawford,17033.0,0.0011,0.0009,0.0009,0.0009,Illinois,2026-05-21
Cumberland,17035.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Dekalb,17037.0,0.0002,0.0003,0.0003,0.0003,Illinois,2026-05-21
Dewitt,,0.0011,0.0007,0.0007,0.0007,,2026-05-21
Douglas,17041.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Dupage,17043.0,0.0012,0.0008,0.0009,0.0011,Illinois,2026-05-21
Edgar,17045.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Edwards,17047.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Effingham,17049.0,0.0229,0.0305,0.0305,0.0305,Illinois,2026-05-21
Fayette,17051.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Ford,17053.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Franklin,17055.0,0.0016,0.0011,0.0011,0.0011,Illinois,2026-05-21
Fulton,17057.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Gallatin,17059.0,0.004,0.004,0.004,0.004,Illinois,2026-05-21
Greene,17061.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Grundy,17063.0,0.0004,0.0003,0.0003,0.0003,Illinois,2026-05-21
Hamilton,17065.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Hancock,17067.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Hardin,17069.0,0.0254,0.0058,0.0058,0.0058,Illinois,2026-05-21
Henderson,17071.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Henry,17073.0,0.0001,0.0001,0.0001,0.0001,Illinois,2026-05-21
Iroquois,17075.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Jackson,17077.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Jasper,17079.0,0.0014,0.0018,0.0018,0.0018,Illinois,2026-05-21
Jefferson,17081.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Jersey,17083.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Jo Daviess,17085.0,0.003,0.0023,0.0023,0.0023,Illinois,2026-05-21
Johnson,17087.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Kane,17089.0,0.0011,0.0012,0.0013,0.0015,Illinois,2026-05-21
Kankakee,17091.0,0.0003,0.0005,0.0005,0.0005,Illinois,2026-05-21
Kendall,17093.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Knox,17095.0,0.0012,0.0007,0.0007,0.0007,Illinois,2026-05-21
Lake,17097.0,0.0026,0.0022,0.0023,0.0025,Illinois,2026-05-21
Lasalle,17099.0,0.0006,0.0002,0.0002,0.0002,Illinois,2026-05-21
Lawrence,17101.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Lee,17103.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Livingston,17105.0,0.0032,0.0009,0.0009,0.0009,Illinois,2026-05-21
Logan,17107.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Macon,17115.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Macoupin,17117.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Madison,17119.0,0.0392,0.0754,0.1003,0.1251,Illinois,2026-05-21
Marion,17121.0,0.0002,0.0001,0.0001,0.0001,Illinois,2026-05-21
Marshall,17123.0,0.1212,0.0606,0.0606,0.0606,Illinois,2026-05-21
Mason,17125.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Massac,17127.0,0.0001,0.0003,0.0003,0.0003,Illinois,2026-05-21
Mcdonough,17109.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Mchenry,17111.0,0.0014,0.002,0.0021,0.0022,Illinois,2026-05-21
Mclean,17113.0,0.0031,0.0033,0.0033,0.0034,Illinois,2026-05-21
Menard,17129.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Mercer,17131.0,0.0011,0.0013,0.0013,0.0013,Illinois,2026-05-21
Monroe,17133.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Montgomery,17135.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
