County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Acadia,,0.0,0.0,0.0,0.0,,2026-06-27
Allen,,0.0611,0.0071,0.0071,0.0071,,2026-06-27
Ascension,,0.0047,0.0009,0.0009,0.0009,,2026-06-27
Assumption,,0.0,0.0,0.0,0.0,,2026-06-27
Avoyelles,,0.0014,0.0003,0.0003,0.0003,,2026-06-27
Beauregard,,0.0006,0.0006,0.0006,0.0006,,2026-06-27
Bienville,,0.0003,0.0001,0.0001,0.0001,,2026-06-27
Bossier,,0.0125,0.0005,0.0005,0.0005,,2026-06-27
Caddo,,0.0032,0.0001,0.0001,0.0001,,2026-06-27
Calcasieu,,0.0099,0.0072,0.0216,0.036,,2026-06-27
Caldwell,,0.2116,0.0885,0.0887,0.0889,,2026-06-27
Cameron,,0.0,0.0,0.0,0.0,,2026-06-27
Catahoula,,0.0,0.0,0.0,0.0,,2026-06-27
Claiborne,,0.0084,0.0003,0.0149,0.0294,,2026-06-27
Concordia,,0.0002,0.0002,0.0002,0.0002,,2026-06-27
Desoto,,0.0,0.0,0.0,0.0,,2026-06-27
East Baton Rouge,,0.0,0.0,0.0,0.0,,2026-06-27
East Carroll,,0.0,0.0,0.0,0.0,,2026-06-27
East Feliciana,,0.0,0.0,0.0,0.0,,2026-06-27
Evangeline,,0.0,0.0,0.0,0.0,,2026-06-27
Franklin,,0.0021,0.0011,0.0012,0.0012,,2026-06-27
Grant,,0.0174,0.0058,0.0058,0.0058,,2026-06-27
Iberia,,0.0883,0.0857,0.0857,0.0857,,2026-06-27
Iberville,,0.0024,0.0004,0.0004,0.0004,,2026-06-27
Jackson,,0.0,0.0,0.0,0.0,,2026-06-27
Jefferson,,0.001,0.0005,0.0008,0.001,,2026-06-27
Jefferson Davis,,0.033,0.003,0.003,0.003,,2026-06-27
Lafayette,,0.0013,0.0013,0.0013,0.0013,,2026-06-27
Lafourche,,0.0002,0.0001,0.0001,0.0001,,2026-06-27
Lasalle,,0.0097,0.0025,0.0025,0.0025,,2026-06-27
Lincoln,,0.0003,0.0002,0.0002,0.0002,,2026-06-27
Livingston,,0.0029,0.0019,0.0025,0.003,,2026-06-27
Madison,,0.0007,0.0005,0.0005,0.0005,,2026-06-27
Morehouse,,0.0,0.0,0.0,0.0,,2026-06-27
Natchitoches,,0.0,0.0,0.0,0.0,,2026-06-27
Orleans,,0.0038,0.0017,0.0019,0.0021,,2026-06-27
Ouachita,,0.0141,0.0079,0.008,0.0082,,2026-06-27
Plaquemines,,0.0099,0.0016,0.0019,0.0023,,2026-06-27
Pointe Coupee,,0.0013,0.001,0.001,0.001,,2026-06-27
Rapides,,0.0003,0.0007,0.0007,0.0007,,2026-06-27
Red River,,0.1808,0.0075,0.0504,0.0933,,2026-06-27
Richland,,0.0003,0.0003,0.0003,0.0003,,2026-06-27
Sabine,,0.0152,0.0006,0.0006,0.0006,,2026-06-27
St. Bernard,,0.003,0.0017,0.0017,0.0017,,2026-06-27
St. Charles,,0.0053,0.0003,0.0035,0.0066,,2026-06-27
St. Helena,,0.0003,0.0011,0.0011,0.0011,,2026-06-27
St. James,,0.0001,0.0001,0.0001,0.0001,,2026-06-27
St. John The Baptist,,<0.0001,0.0001,0.0001,0.0001,,2026-06-27
St. Landry,,0.0023,0.0008,0.0008,0.0008,,2026-06-27
St. Martin,,0.0052,0.0016,0.0016,0.0016,,2026-06-27
St. Mary,,0.0,0.0,0.0,0.0,,2026-06-27
St. Tammany,,0.0,0.0,0.0,0.0,,2026-06-27
Tangipahoa,,0.0007,0.0007,0.0007,0.0007,,2026-06-27
Tensas,,0.0013,0.0011,0.0011,0.0011,,2026-06-27
Terrebonne,,0.0,0.0,0.0,0.0,,2026-06-27
Union,,0.0,0.0,0.0,0.0,,2026-06-27
Vermilion,,0.2271,0.1802,0.1802,0.1802,,2026-06-27
Vernon,,0.0002,0.0001,0.0001,0.0001,,2026-06-27
Washington,,0.0016,0.0007,0.0007,0.0007,,2026-06-27
Webster,,0.0025,0.0014,0.0017,0.0019,,2026-06-27
West Baton Rouge,,0.0406,0.0038,0.069,0.1342,,2026-06-27
West Carroll,,0.0,0.0,0.0,0.0,,2026-06-27
West Feliciana,,0.0,0.0,0.0,0.0,,2026-06-27
Winn,,0.0077,0.0008,0.0008,0.0008,,2026-06-27
