County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Adams,28001,0.0077,0.0006,0.003,0.0054,Mississippi,2026-06-03
Alcorn,28003,0.0,0.0,0.0,0.0,Mississippi,2026-06-03
Amite,28005,0.2794,0.0332,0.3827,0.7323,Mississippi,2026-06-03
Attala,28007,0.036,0.0091,0.0093,0.0095,Mississippi,2026-06-03
Benton,28009,3.1756,0.1323,0.1323,0.1323,Mississippi,2026-06-03
Bolivar,28011,0.0013,0.0012,0.0012,0.0012,Mississippi,2026-06-03
Calhoun,28013,0.0,0.0,0.0,0.0,Mississippi,2026-06-03
Carroll,28015,0.1101,0.1107,0.1107,0.1107,Mississippi,2026-06-03
Chickasaw,28017,0.0,0.0,0.0,0.0,Mississippi,2026-06-03
Choctaw,28019,0.0,0.0,0.0,0.0,Mississippi,2026-06-03
Claiborne,28021,0.0727,0.0082,0.0214,0.0346,Mississippi,2026-06-03
Clarke,28023,0.0646,0.0144,0.0144,0.0144,Mississippi,2026-06-03
Clay,28025,0.0,0.0,0.0,0.0,Mississippi,2026-06-03
Coahoma,28027,0.0174,0.0067,0.0067,0.0067,Mississippi,2026-06-03
Copiah,28029,0.5124,0.0898,0.909,1.7283,Mississippi,2026-06-03
Covington,28031,0.3173,0.1093,0.111,0.1126,Mississippi,2026-06-03
Desoto,28033,0.0017,0.0009,0.0009,0.0009,Mississippi,2026-06-03
Forrest,28035,0.0024,0.0016,0.0028,0.0041,Mississippi,2026-06-03
Franklin,28037,0.1582,0.0131,0.1043,0.1955,Mississippi,2026-06-03
George,28039,0.001,0.0013,0.0013,0.0013,Mississippi,2026-06-03
Greene,28041,0.0,0.0,0.0,0.0,Mississippi,2026-06-03
Grenada,28043,0.0001,0.0004,0.0004,0.0004,Mississippi,2026-06-03
Hancock,28045,0.001,0.0008,0.0008,0.0008,Mississippi,2026-06-03
Harrison,28047,0.0048,0.0023,0.0024,0.0025,Mississippi,2026-06-03
Hinds,28049,0.0377,0.0046,0.0213,0.038,Mississippi,2026-06-03
Holmes,28051,0.0719,0.008,0.0081,0.0082,Mississippi,2026-06-03
Humphreys,28053,0.0,0.0,0.0,0.0,Mississippi,2026-06-03
Issaquena,28055,0.0,0.0,0.0,0.0,Mississippi,2026-06-03
Itawamba,28057,0.0,0.0,0.0,0.0,Mississippi,2026-06-03
Jackson,28059,0.0005,0.0007,0.0007,0.0007,Mississippi,2026-06-03
