County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Alamance,37001,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Alexander,37003,<0.0001,0.0001,0.0001,0.0001,North Carolina,2026-05-03
Alleghany,37005,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Anson,37007,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Ashe,37009,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Avery,37011,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Beaufort,37013,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Bertie,37015,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Bladen,37017,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Brunswick,37019,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Buncombe,37021,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Burke,37023,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Cabarrus,37025,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Caldwell,37027,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Camden,37029,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Carteret,37031,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Caswell,37033,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Catawba,37035,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Chatham,37037,0.0003,0.0002,0.0002,0.0002,North Carolina,2026-05-03
Cherokee,37039,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Chowan,37041,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Clay,37043,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Cleveland,37045,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Columbus,37047,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Craven,37049,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Cumberland,37051,0.1375,0.0057,0.0057,0.0057,North Carolina,2026-05-03
Currituck,37053,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Dare,37055,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Davidson,37057,0.0014,0.001,0.001,0.0011,North Carolina,2026-05-03
Davie,37059,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Duplin,37061,0.0014,0.0002,0.0002,0.0002,North Carolina,2026-05-03
Durham,37063,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Edgecombe,37065,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Forsyth,37067,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Franklin,37069,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Gaston,37071,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Gates,37073,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Graham,37075,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
